Time,Channel A
(ms),(V)

6.83919997,-0.03280740
6.84047997,-0.02899258
6.84175997,-0.02499466
6.84303997,-0.02102725
6.84431997,-0.01721244
6.84559997,-0.01324503
6.84687997,-0.00927763
6.84815997,-0.00531022
6.84943997,-0.00161748
6.85071997,0.00189215
6.85199997,0.00531022
6.85327997,0.00842311
6.85455997,0.01153600
6.85583997,0.01452681
6.85711997,0.01721244
6.85839997,0.01962340
6.85967997,0.02203436
6.86095997,0.02417066
6.86223997,0.02600177
6.86351997,0.02771081
6.86479997,0.02911466
6.86607997,0.03039644
6.86735997,0.03137303
6.86863997,0.03222755
6.86991997,0.03292947
6.87119997,0.03350932
6.87247997,0.03393658
6.87375997,0.03421125
6.87503997,0.03436384
6.87631997,0.03451644
6.87759997,0.03463851
6.87887997,0.03479110
6.88015997,0.03479110
6.88143997,0.03463851
6.88271997,0.03436384
6.88399997,0.03393658
6.88527997,0.03350932
6.88655997,0.03292947
6.88783997,0.03222755
6.88911997,0.03152562
6.89039997,0.03094577
6.89167997,0.03024384
6.89295997,0.02954192
6.89423997,0.02868740
6.89551997,0.02783288
6.89679997,0.02697836
6.89807997,0.02627644
6.89935997,0.02569658
6.90063997,0.02514725
6.90191997,0.02456740
6.90319997,0.02401807
6.90447997,0.02359081
6.90575997,0.02301096
6.90703997,0.02258370
6.90831997,0.02215644
6.90959997,0.02188177
6.91087997,0.02145451
6.91215997,0.02102725
6.91343997,0.02059999
6.91471997,0.02032533
6.91599997,0.02005066
6.91727997,0.01974548
6.91855997,0.01962340
6.91983997,0.01962340
6.92111997,0.01962340
6.92239997,0.01962340
6.92367997,0.01947081
6.92495997,0.01934873
6.92623997,0.01934873
6.92751997,0.01919614
6.92879997,0.01904355
6.93007997,0.01904355
6.93135997,0.01904355
6.93263997,0.01904355
6.93391997,0.01904355
6.93519997,0.01904355
6.93647997,0.01904355
6.93775997,0.01892148
6.93903997,0.01876888
6.94031997,0.01861629
6.94159997,0.01834162
6.94287997,0.01806696
6.94415997,0.01776177
6.94543997,0.01763970
6.94671997,0.01748710
6.94799997,0.01736503
6.94927997,0.01721244
6.95055997,0.01705985
6.95183997,0.01678518
6.95311997,0.01651051
6.95439997,0.01620533
6.95567997,0.01608326
6.95695997,0.01593066
6.95823997,0.01593066
6.95951997,0.01580859
6.96079997,0.01565599
6.96207997,0.01550340
6.96335997,0.01538133
6.96463997,0.01522874
6.96591997,0.01507614
6.96719997,0.01495407
6.96847997,0.01480148
6.96975997,0.01464888
6.97103997,0.01452681
6.97231997,0.01422163
6.97359997,0.01409955
6.97487997,0.01394696
6.97615997,0.01394696
6.97743997,0.01394696
6.97871997,0.01394696
6.97999997,0.01394696
6.98127997,0.01394696
6.98255997,0.01394696
6.98383997,0.01394696
6.98511997,0.01409955
6.98639997,0.01422163
6.98767997,0.01437422
6.98895997,0.01452681
6.99023997,0.01464888
6.99151997,0.01464888
6.99279997,0.01480148
6.99407997,0.01495407
6.99535997,0.01522874
6.99663997,0.01550340
6.99791997,0.01565599
6.99919997,0.01580859
7.00047997,0.01593066
7.00175997,0.01593066
7.00303997,0.01593066
7.00431997,0.01593066
7.00559997,0.01608326
7.00687997,0.01620533
7.00815997,0.01635792
7.00943997,0.01651051
7.01071997,0.01663259
7.01199997,0.01663259
7.01327997,0.01651051
7.01455997,0.01651051
7.01583997,0.01635792
7.01711997,0.01620533
7.01839997,0.01608326
7.01967997,0.01593066
7.02095997,0.01593066
7.02223997,0.01593066
7.02351997,0.01580859
7.02479997,0.01565599
7.02607997,0.01565599
7.02735997,0.01550340
7.02863997,0.01538133
7.02991997,0.01507614
