"Time (ms)","Recording (a.u.)"
5.177453027E0,1.220740379E-2
5.198329854E0,-4.028443251E-3
5.219206681E0,-1.992858669E-2
5.240083507E0,-3.424176763E-2
5.260960334E0,-4.709006012E-2
5.281837161E0,-5.700857570E-2
5.302713987E0,-6.411938841E-2
5.323590814E0,-7.153538621E-2
5.344467641E0,-7.977538377E-2
5.365344468E0,-8.829004791E-2
5.386221294E0,-9.759819330E-2
5.407098121E0,-1.058992279E-1
5.427974948E0,-1.111789300E-1
5.448851775E0,-1.146580401E-1
5.469728601E0,-1.174047060E-1
5.490605428E0,-1.204260384E-1
5.511482255E0,-1.268959624E-1
5.532359081E0,-1.367534410E-1
5.553235908E0,-1.470992157E-1
5.574112735E0,-1.568956572E-1
5.594989562E0,-1.654408399E-1
5.615866388E0,-1.733451338E-1
5.636743215E0,-1.843012787E-1
5.657620042E0,-1.999572741E-1
5.678496868E0,-2.183904538E-1
5.699373695E0,-2.374950407E-1
5.720250522E0,-2.547990356E-1
5.741127349E0,-2.686849574E-1
5.762004175E0,-2.801904355E-1
5.782881002E0,-2.910245064E-1
5.803757829E0,-3.017975402E-1
5.824634656E0,-3.122653890E-1
5.845511482E0,-3.215735343E-1
5.866388309E0,-3.281655324E-1
5.887265136E0,-3.305459761E-1
5.908141962E0,-3.284096805E-1
5.929018789E0,-3.221839045E-1
5.949895616E0,-3.125705741E-1
5.970772443E0,-3.011261330E-1
5.991649269E0,-2.888271737E-1
6.012526096E0,-2.750022889E-1
6.033402923E0,-2.593157750E-1
6.054279749E0,-2.408520768E-1
6.075156576E0,-2.180852687E-1
6.096033403E0,-1.922666097E-1
6.116910230E0,-1.655629139E-1
6.137787056E0,-1.386455885E-1
6.158663883E0,-1.137424848E-1
6.179540710E0,-9.115878780E-2
6.200417537E0,-6.875820185E-2
6.221294363E0,-4.666280099E-2
6.242171190E0,-2.587969604E-2
6.263048017E0,-6.103701895E-3
6.283924843E0,1.065095981E-2
6.304801670E0,2.331614124E-2
6.325678497E0,3.408917508E-2
6.346555324E0,4.297006134E-2
6.367432150E0,5.026398511E-2
6.388308977E0,5.819879757E-2
6.409185804E0,6.634723960E-2
6.430062630E0,7.376323740E-2
6.450939457E0,8.212530900E-2
6.471816284E0,9.088412122E-2
6.492693111E0,9.970397046E-2
6.513569937E0,1.104770043E-1
6.534446764E0,1.231421857E-1
6.555323591E0,1.360515152E-1
6.576200418E0,1.500595111E-1
6.597077244E0,1.646168401E-1
6.617954071E0,1.790215766E-1
6.638830898E0,1.951658681E-1
