Frequency,Channel A,Channel B
(ms),(V),(V)

-8.24316499,0.31690420,3.03201400
-8.24060499,0.31690420,2.98684600
-8.23804499,0.31690420,2.98684600
-8.23548499,0.31690420,2.98684600
-8.23292499,0.31690420,2.98684600
-8.23036499,0.31690420,2.98684600
-8.22780499,0.31690420,3.03201400
-8.22524499,0.32596820,3.03201400
-8.22268499,0.31690420,2.98684600
-8.22012499,0.31690420,3.03201400
-8.21756499,0.31690420,3.03201400
-8.21500499,0.31690420,3.03201400
-8.21244499,0.31690420,2.98684600
-8.20988499,0.31690420,3.03201400
-8.20732499,0.32596820,2.98684600
-8.20476499,0.31690420,2.98684600
-8.20220499,0.32596820,3.03201400
-8.19964499,0.31690420,3.03201400
-8.19708499,0.31690420,3.03201400
-8.19452499,0.31690420,3.03201400
-8.19196499,0.32596820,3.03201400
-8.18940499,0.32596820,3.03201400
-8.18684499,0.32596820,3.03201400
-8.18428499,0.32596820,3.03201400
-8.18172499,0.32596820,3.03201400
-8.17916499,0.32596820,3.03201400
-8.17660499,0.32596820,3.03201400
-8.17404499,0.32596820,3.03201400
-8.17148499,0.32596820,3.03201400
-8.16892499,0.34406570,3.03201400
-8.16636499,0.32596820,3.03201400
-8.16380499,0.32596820,3.03201400
-8.16124499,0.32596820,3.03201400
-8.15868499,0.32596820,3.03201400
-8.15612499,0.32596820,3.07702900
-8.15356499,0.32596820,3.07702900
-8.15100499,0.32596820,3.07702900
-8.14844499,0.32596820,3.03201400
-8.14588499,0.33500170,3.07702900
-8.14332499,0.32596820,3.07702900
-8.14076499,0.32596820,3.07702900
-8.13820499,0.33500170,3.03201400
-8.13564499,0.32596820,3.03201400
-8.13308499,0.32596820,3.07702900
